BA1;Ich kann einerseits gut planen, aber auch intuitiv an Aufgaben herangehen.
BA2;Ich kann aus mir herausgehen, mich aber auch zurückhalten.
BA3;Ich kann meinen Gefühlen Ausdruck verleihen, sie aber auch für mich behalten.
BA4;Ich versuche eine Balance zwischen Aktivität und Passivität hinzubekommen (z.B. Dinge in die Hand nehmen oder abwarten).
BA5;Ich kann sowohl aus dem Bauch heraus entscheiden als auch analytisch an eine Sache herangehen.
BA6;Manchmal entscheide ich ganz intuitiv, manchmal ganz überlegt.
CO1;Ich sage mir, dass Stress und Druck auch ihre guten Seiten haben.
CO2;Ich mache mir schon vorher Gedanken, wie ich Zeitdruck vermeiden kann.
CO3;Ich sehe Stress und Druck als positive Herausforderung an.
CO4;Auch wenn ich sehr unter Druck stehe, verliere ich meinen Humor nicht.
CO5;Bei Stress und Druck konzentriere ich mich einfach auf das Positive.
CO6;Ich tue alles, damit Stress erst gar nicht entsteht.
CO7;Bei Stress und Druck beseitige ich gezielt die Ursachen.
GE1;Ich kann mich auch über Kleinigkeiten richtig aufregen.
GE2;Mich kann nichts so leicht aus der Ruhe bringen.
GE3;Wenn ich etwas nicht sofort finde, fällt es mir schwer, Ruhe zu bewahren.
GE4;Ich fühle mich im Allgemeinen oft gehetzt.
GE5;Auch Kleinigkeiten bringen mich leicht aus der Fassung.
GE6;Auch in schwierigen Situationen bleibe ich gelassen.
GS1;Ich kann Erfolge richtig genießen.
GS2;In Pausen denke ich oft weiter über die Arbeit nach.
GS3;Ich verwöhne mich selbst.
GS4;Ich gönne mir Zeiten, in denen ich nur das tue, wonach mir gerade ist.
GS5;In Pausen kann ich gut abschalten.
GS6;Ich gönne mir ab und zu etwas Gutes.
GS7;Ich genieße Musik, Literatur, Kunst, Essen oder die Natur.
GS8;Ich genieße die schönen Dinge des Lebens bewusst.
KO1;Ich tue etwas für meine Gesundheit.
KO2;Ich achte auf meinen Körper.
KO3;Ich achte auf mein Äußeres.
KO4;Mir ist körperliche Aktivität wichtig.
KO5;Ich achte auf die Ausgewogenheit meiner Ernährung.
KO6;Ich versuche, gesund zu leben.
VL1;Ich nehme mir ausreichend Zeit für meine Hobbies.
VL2;Mir fällt es leicht, Verpflichtungen und Freizeitaktivitäten unter einen Hut zu bekommen.
VL3;Bestimmte Bereiche in meinem Leben kommen zu kurz.
VL4;Ein Ausgleich zwischen privaten und beruflichen Aufgaben ist mir wichtig.
VL5;Die Vereinbarkeit von Beruf und Privatleben liegt mir am Herzen.
OF1;Neue Herausforderungen nehme ich gerne an.
OF2;Ich probiere gerne Neues aus.
OF3;Mich interessiert, was in der Welt geschieht.
OF4;Ich finde es spannend neue Leute kennenzulernen.
OF5;Ich fühle mich nur in einer vertrauten Umgebung wirklich wohl.
OF6;Ich bin sehr wissbegierig.
OF7;Ich bin offen für neue Entwicklungen.
OP1;Ich teile meine Kräfte gut ein
OP2;Wenn ich viel zu erledigen habe, verliere ich leicht den Überblick.
OP3;Mir gelingt es, meine Wünsche und Möglichkeiten in Einklang zu bringen.
OP4;Auch bei widrigen Umständen komme ich zu guten Ergebnissen.
OP5;Ich setze meine Ziele um.
OP6;Wenn mir etwas wichtig ist, dann versuche ich es auch zu erreichen.
OP7;Ich verzettle mich oft.
OP8;Ich habe ein gutes Gespür dafür, was in bestimmten Situationen getan werden muss.
PO1;Ich habe häufig gute Laune.
PO2;Ich kann viel Freude an kleinen Dingen finden.
PO3;Alles in allem erwarte ich, dass ich mehr gute als schlechte Dinge erlebe.
PO4;Ich gehe davon aus, dass sich alles zum Guten entwickelt.
PO5;Ich finde das Leben lebenswert.
PO6;Mir fällt es leicht, Dankbarkeit zu zeigen.
PO7;Auch in ungewissen Zeiten erwarte ich normalerweise das Beste.
PO8;Ich gehe optimistisch an die Dinge heran.
PO9;Alles wird in einer Katastrophe enden.
PO10;Ich glaube, dass es gut bleibt oder aufwärts geht.
SB1;Ich will darauf Einfluss nehmen, wie mein Leben verläuft.
SB2;Ich versuche zu entscheiden, was in meinem Leben passiert.
SB3;Ich lasse mich von Anderen in wichtigen Dingen beeinflussen.
SB4;Ich nehme mein Leben in die Hand.
SB5;Ich fühle mich als Spielball von äußeren Einflüssen.
SB6;Ich kann mich auf mich selbst verlassen.
SB7;Ich lasse mich nicht manipulieren.
SO1;Ich kenne Menschen, bei denen ich so sein kann wie ich bin.
SO2;Ich kann mich auf niemanden wirklich verlassen.
SO3;Es fällt mir schwer, Freundschaften auch über große Entfernungen oder über längere Zeit aufrechtzuerhalten.
SO4;Beziehungen sind mir wichtig.
SO5;Die aktive Gestaltung von Beziehungen ist mir wichtig.
SO6;Ich kümmere mich um meine Freundschaften.
SO7;Meine Freunde können sich auf mich verlassen.
SO8;Ich bemühe mich um meine Kontakte und Freundschaften.
SO9;Ich trage etwas zur Verbesserung meiner Beziehungen bei.
SW1;Mir fällt es leicht, meine Absichten und Ziele zu verwirklichen.
SW2;Auch bei überraschenden Ergebnissen glaube ich, dass ich gut mit ihnen zurecht kommen kann.
SW3;Schwierigkeiten sehe ich gelassen entgegen, weil ich meinen Fähigkeiten immer vertrauen kann.
SW4;Wenn eine neue Sache auf mich zukommt, weiß ich, wie ich damit umgehen kann.
SW5;Was auch immer passiert, ich werde schon klarkommen
SW6;Die Lösung schwieriger Probleme gelingt mir immer, wenn ich mich darum bemühe.
SW7;Für jedes Problem kann ich eine Lösung finden.
SW8;Wenn ein Problem auftaucht, kann ich es aus eigener Kraft meistern.
SK1;Ich weiß, was mir wichtig ist.
SK2;Ich kenne meine eigenen Stärken und Schwächen.
SK3;Wenn es mir gut oder schlecht geht, weiß ich, warum das so ist.
SK4;Ich lerne aus schlechten Erfahrungen.
SK5;Ich habe klare Prinzipien / Wertvorstellungen.
SK6;Ich weiß, worauf es im Leben ankommt.
SK7;Ich habe ein Gespür für meine Talente.
SK8;Ich weiß, was ich kann und was nicht so gut.
SK9;Ich weiß, was mich ausmacht.
SK10;Ich kenne meine Bedürfnisse.
UM1;Ich suche aktiv nach Lebensbedingungen (z.B. Arbeit, Wohnung), in denen ich mich wohl fühle.
UM2;Ich versuche mein Arbeitsumfeld so zu gestalten, dass es mir gefällt.
UM3;Ich gestalte mein Zuhause nach meinem Geschmack.
UM4;Ich versuche meine Lebensbedingungen (z.B. Arbeit, Wohnung) so auszuwählen, dass ich zufrieden mit ihnen bin.
UM5;Im Rahmen meiner Möglichkeiten suche ich mir meine Wohnsituation selbst aus.
UM6;Ich gestalte meine Lebensbedingungen nach meinen Vorstellungen.
SA1;Ich möchte meine Möglichkeiten ausleben.
SA2;Mir ist es wichtig meine Ziele umzusetzen.
SA3;Ich will mein Potenzial realisieren.
SA4;Ich möchte mich weiterentwickeln.
SA5;Es ist mir ein Bedürfnis, meine Stärken einzusetzen.
SA6;Ich versuche meine Möglichkeiten zu realisieren.
SA7;Ich habe das Gefühl, ich komme nicht weiter.
SA8;Ich versuche, meine Träume wahr zu machen.
RX1;Ich denke oft darüber nach, was gut und was nicht so gut gelaufen ist
RX2;Ich versuche auch im Nachhinein zu verstehen was ich gutgemacht habe und was weniger gut.
RX3;Ich überlege mir was ich besser machen könnte.
RX4;Ich analysiere mein Verhalten und versuche, daraus zu lernen.
RX5;Ich reflektiere vergangene Ereignisse und versuche etwas anders zu machen.
RX6;Wenn ich über mein Verhalten nachdenke, kommen mir oft Ideen, wie ich es besser machen könnte.
RX7;Nach Meinungsverschiedenheiten überlege ich mir, wie ich beim nächsten Mal geschickter agieren könnte.
RX8;Ich reflektiere nicht über Vergangenes.
RX9;Ich mache mir keine Gedanken mehr wenn etwas vorbei ist.
SN1;Ich lebe meine Möglichkeiten aus.
SN2;Ich sehe einen Sinn in meinem Leben.
SN3;Ich arbeite auf die Verwirklichung meiner persönlichen Ziele hin.
SN4;Meine Prinzipien zeigen sich in dem, was ich tue.
SN5;Ich bin verantwortlich für meine Lebenssituation.
SN6;Ich sehe das, was ich tue, als sinnvoll an.
SN7;Ich weiß, warum ich lebe.
SN8;Das Leben ist für mich wertvoll.
SN9;Mein Leben hat einen Sinn.
SN10;Ich habe Ziele für mein Leben.
SN11;Ich habe ein erfülltes Leben.
